insert into basicinfo values
(1, 'nps', 29, '0', 'programmer', '20000703'),
(2, 'opiu', 17, '1', 'teacher', '20050614'),
(3, 'qpk', 32, '0', 'teacher', '20020803'),
(4, 'xlbn', 50, '0', 'scientist', '20040919'),
(5, 'mnjvi', 15, '0', 'student', '20150718'),
(6, 'vjle', 15, '0', 'student', '20150719'),
(7, 'otmb', 51, '1', 'artist', '20191101'),
(8, 'heg', 35, '1', 'teacher', '20100421'),
(9, 'yhkvr', 10, '0', 'actor', '20150502'),
(10, 'pcuskq', 30, '0', 'artist', '20050427'),
(11, 'nhbp', 10, '0', 'actor', '20100331'),
(12, 'rce', 10, '0', 'programmer', '20130129'),
(13, 'tedyo', 24, '0', 'teacher', '20050829'),
(14, 'lnoh', 26, '0', 'artist', '20090506'),
(15, 'tqfd', 49, '1', 'doctor', '20090131'),
(16, 'jfvuyx', 15, '0', 'scientist', '20160502'),
(17, 'knhar', 21, '0', 'programmer', '20010626'),
(18, 'khcio', 22, '0', 'programmer', '20131009'),
(19, 'mpvh', 27, '1', 'doctor', '20171115'),
(20, 'qptcf', 14, '0', 'actor', '20160825'),
(21, 'menrsl', 57, '0', 'teacher', '20180430'),
(22, 'pwfrod', 19, '0', 'artist', '20140215'),
(23, 'aor', 36, '0', 'diver', '20020318'),
(24, 'lce', 24, '0', 'actor', '20030913'),
(25, 'zpeonq', 23, '0', 'actor', '20150319'),
(26, 'xizwo', 34, '0', 'cleaner', '20140527'),
(27, 'uqexh', 23, '1', 'actor', '20101228'),
(28, 'vgu', 17, '0', 'actor', '20200109'),
(29, 'adjnhx', 13, '0', 'artist', '20030111'),
(30, 'try', 10, '0', 'diver', '20030805'),
(31, 'fvpel', 41, '1', 'diver', '20200401'),
(32, 'zglfcs', 26, '1', 'actor', '20060816'),
(33, 'gdvjoq', 26, '0', 'teacher', '20140529'),
(34, 'vxrgit', 12, '0', 'cleaner', '20120524'),
(35, 'uza', 32, '0', 'diver', '20070217'),
(36, 'tnmugc', 40, '0', 'programmer', '20140530'),
(37, 'bli', 38, '1', 'doctor', '20120403'),
(38, 'nygujo', 13, '1', 'cleaner', '20100101'),
(39, 'qimouk', 26, '1', 'programmer', '20111115'),
(40, 'poscw', 39, '1', 'diver', '20180514'),
(41, 'zxmft', 10, '0', 'doctor', '20140222'),
(42, 'txj', 16, '0', 'scientist', '20000721'),
(43, 'ukcxm', 36, '0', 'programmer', '20120921'),
(44, 'tfhjd', 47, '1', 'teacher', '20181203'),
(45, 'hsx', 18, '0', 'cleaner', '20020707'),
(46, 'gsyoxa', 40, '1', 'programmer', '20130509'),
(47, 'ksgq', 27, '0', 'teacher', '20190312'),
(48, 'bvwsl', 27, '0', 'diver', '20130705'),
(49, 'tufyd', 50, '1', 'student', '20111002'),
(50, 'axrq', 19, '1', 'artist', '20111120'),
(51, 'mos', 51, '1', 'doctor', '20111031'),
(52, 'eow', 36, '0', 'teacher', '20160108'),
(53, 'xotfln', 21, '1', 'doctor', '20110906'),
(54, 'mgdnue', 14, '1', 'diver', '20010528'),
(55, 'ugsn', 21, '1', 'doctor', '20120403'),
(56, 'btzfjh', 15, '0', 'diver', '20010907'),
(57, 'dusl', 27, '0', 'diver', '20060425'),
(58, 'bmtyn', 49, '1', 'diver', '20020824'),
(59, 'ygpfm', 38, '0', 'actor', '20151206'),
(60, 'bfswn', 26, '1', 'teacher', '20050318'),
(61, 'dmzhxn', 30, '0', 'teacher', '20100729'),
(62, 'rudlq', 21, '1', 'cleaner', '20160302'),
(63, 'rjav', 39, '1', 'programmer', '20050518'),
(64, 'whdqup', 13, '1', 'programmer', '20030524'),
(65, 'sgjlcy', 12, '0', 'teacher', '20181228'),
(66, 'cmz', 25, '1', 'programmer', '20010123'),
(67, 'unk', 25, '0', 'artist', '20060123'),
(68, 'lku', 20, '1', 'artist', '20160314'),
(69, 'agej', 15, '1', 'doctor', '20061109'),
(70, 'hmtr', 11, '0', 'cleaner', '20191121'),
(71, 'ryaexd', 13, '1', 'diver', '20001209'),
(72, 'vyf', 16, '1', 'teacher', '20040328'),
(73, 'cavnxf', 28, '0', 'cleaner', '20140508'),
(74, 'rfb', 57, '1', 'student', '20121020'),
(75, 'okfbmu', 23, '0', 'scientist', '20150824'),
(76, 'wzlvce', 25, '1', 'teacher', '20090110'),
(77, 'fcoae', 18, '0', 'student', '20090617'),
(78, 'qje', 19, '0', 'scientist', '20030723'),
(79, 'jwt', 21, '1', 'actor', '20110521'),
(80, 'siu', 69, '0', 'teacher', '20170809'),
(81, 'qewbux', 16, '1', 'student', '20020119'),
(82, 'rage', 26, '0', 'programmer', '20100528'),
(83, 'ealqvd', 19, '1', 'scientist', '20160404'),
(84, 'ofuea', 42, '0', 'student', '20130914'),
(85, 'ovwy', 35, '1', 'actor', '20060203'),
(86, 'qvpeb', 35, '1', 'doctor', '20160830'),
(87, 'fpwigy', 48, '0', 'cleaner', '20170908'),
(88, 'usyrm', 31, '0', 'cleaner', '20050128'),
(89, 'xkebo', 63, '1', 'student', '20011024'),
(90, 'qbmty', 21, '1', 'programmer', '20021007'),
(91, 'eba', 21, '1', 'diver', '20120615'),
(92, 'hvpsyc', 29, '0', 'scientist', '20030703'),
(93, 'lzo', 50, '1', 'artist', '20140721'),
(94, 'fxeyu', 13, '1', 'cleaner', '20130807'),
(95, 'vxhe', 36, '1', 'doctor', '20130101'),
(96, 'qtpv', 24, '0', 'artist', '20130216'),
(97, 'crxe', 46, '0', 'cleaner', '20200217'),
(98, 'cvmo', 23, '0', 'student', '20030107'),
(99, 'aofv', 25, '1', 'diver', '20051023'),
(100, 'mughk', 35, '1', 'diver', '20100305'),
(101, 'ebpnl', 30, '1', 'artist', '20110817'),
(102, 'kvj', 25, '0', 'cleaner', '20170123'),
(103, 'nwj', 25, '1', 'cleaner', '20150817'),
(104, 'dnco', 26, '1', 'actor', '20050630'),
(105, 'mrc', 24, '1', 'actor', '20000328'),
(106, 'spcnd', 25, '0', 'student', '20131105'),
(107, 'hmaowu', 57, '0', 'actor', '20190501'),
(108, 'wnjrve', 29, '1', 'programmer', '20150503'),
(109, 'hpso', 33, '0', 'diver', '20130924'),
(110, 'xroty', 35, '1', 'scientist', '20001015'),
(111, 'uwojf', 43, '0', 'actor', '20071223'),
(112, 'ltfq', 39, '1', 'diver', '20001202'),
(113, 'bfn', 28, '0', 'diver', '20100619'),
(114, 'ygaf', 36, '0', 'scientist', '20151121'),
(115, 'bqhae', 57, '0', 'cleaner', '20160825'),
(116, 'ylanuz', 15, '1', 'doctor', '20081022'),
(117, 'eib', 18, '1', 'student', '20041016'),
(118, 'dqwp', 26, '0', 'student', '20100201'),
(119, 'krnyw', 25, '0', 'artist', '20110311'),
(120, 'nbdpv', 36, '1', 'cleaner', '20120328'),
(121, 'xnplcf', 20, '0', 'student', '20191007'),
(122, 'rykj', 49, '0', 'diver', '20061010'),
(123, 'xsn', 14, '0', 'programmer', '20010608'),
(124, 'fzpl', 74, '1', 'scientist', '20130524'),
(125, 'mhz', 32, '0', 'student', '20061123'),
(126, 'pbr', 29, '1', 'student', '20080924'),
(127, 'cyxvtz', 15, '1', 'artist', '20080502'),
(128, 'fomw', 34, '1', 'scientist', '20190120'),
(129, 'vnwh', 29, '0', 'diver', '20141018'),
(130, 'ghxwlp', 18, '0', 'scientist', '20040609'),
(131, 'zsvx', 11, '1', 'actor', '20011013'),
(132, 'gcxm', 37, '0', 'teacher', '20180525'),
(133, 'tqh', 24, '0', 'diver', '20190503'),
(134, 'kpsuf', 23, '1', 'actor', '20151222'),
(135, 'moqd', 27, '0', 'diver', '20140508'),
(136, 'hbd', 23, '0', 'cleaner', '20020321'),
(137, 'hixwk', 21, '0', 'student', '20090928'),
(138, 'elysu', 27, '0', 'diver', '20040511'),
(139, 'ayo', 31, '1', 'diver', '20040111'),
(140, 'tzafye', 41, '0', 'programmer', '20131117'),
(141, 'pocf', 41, '0', 'programmer', '20020830'),
(142, 'uviye', 30, '1', 'actor', '20011211'),
(143, 'wxqbvz', 30, '1', 'teacher', '20010219'),
(144, 'qnrxjt', 30, '0', 'programmer', '20190820'),
(145, 'jseox', 97, '1', 'diver', '20110427'),
(146, 'ciwju', 31, '0', 'actor', '20111108'),
(147, 'ium', 42, '1', 'doctor', '20100829'),
(148, 'nmfide', 39, '0', 'cleaner', '20181124'),
(149, 'aoyz', 33, '1', 'teacher', '20120415'),
(150, 'ifkgvu', 13, '1', 'doctor', '20040518'),
(151, 'bys', 35, '1', 'teacher', '20051002'),
(152, 'bsjl', 15, '1', 'programmer', '20150908'),
(153, 'jicgu', 10, '0', 'doctor', '20120125'),
(154, 'ucx', 21, '0', 'diver', '20190314'),
(155, 'ozrv', 66, '1', 'scientist', '20080202'),
(156, 'rvjbq', 33, '1', 'doctor', '20140822'),
(157, 'otwbl', 10, '1', 'artist', '20110520'),
(158, 'pjrzal', 41, '1', 'student', '20080726'),
(159, 'fhmnki', 21, '1', 'scientist', '20030805'),
(160, 'dcinh', 33, '1', 'teacher', '20060116'),
(161, 'yaqr', 24, '1', 'artist', '20091010'),
(162, 'ksgx', 20, '1', 'teacher', '20040227'),
(163, 'kapg', 62, '1', 'teacher', '20150326'),
(164, 'typ', 32, '0', 'scientist', '20190410'),
(165, 'arjq', 23, '1', 'programmer', '20060122'),
(166, 'epu', 37, '1', 'artist', '20100803'),
(167, 'bmfeu', 17, '0', 'scientist', '20000425'),
(168, 'nztsuv', 30, '0', 'actor', '20000721'),
(169, 'sfw', 37, '1', 'doctor', '20090521'),
(170, 'gsqtpm', 13, '1', 'programmer', '20080128'),
(171, 'rhlsb', 10, '0', 'teacher', '20190602'),
(172, 'zea', 55, '0', 'doctor', '20040625'),
(173, 'ihxc', 28, '1', 'student', '20160824'),
(174, 'xbolau', 38, '0', 'artist', '20070403'),
(175, 'tsgw', 62, '1', 'doctor', '20111108'),
(176, 'jeq', 40, '0', 'diver', '20160824'),
(177, 'cepzjf', 10, '0', 'diver', '20161112'),
(178, 'jybpzx', 45, '0', 'scientist', '20120330'),
(179, 'clq', 28, '0', 'diver', '20140720'),
(180, 'dvr', 35, '1', 'artist', '20051019'),
(181, 'bzhv', 18, '1', 'scientist', '20140406'),
(182, 'cjz', 14, '0', 'teacher', '20010724'),
(183, 'lkqtwv', 52, '1', 'programmer', '20100128'),
(184, 'imarwx', 11, '1', 'cleaner', '20151106'),
(185, 'rcmw', 22, '0', 'actor', '20120202'),
(186, 'vrbks', 48, '0', 'actor', '20151116'),
(187, 'kflpd', 43, '0', 'actor', '20120411'),
(188, 'kbuj', 20, '1', 'cleaner', '20000331'),
(189, 'dxwlb', 29, '0', 'student', '20040704'),
(190, 'ihl', 23, '0', 'scientist', '20180323'),
(191, 'tjr', 21, '1', 'cleaner', '20121126'),
(192, 'tokave', 12, '1', 'programmer', '20091230'),
(193, 'luqj', 22, '0', 'student', '20140205'),
(194, 'oeh', 33, '1', 'diver', '20130107'),
(195, 'vjhsn', 51, '1', 'doctor', '20000922'),
(196, 'hmy', 62, '1', 'cleaner', '20070225'),
(197, 'bcld', 16, '1', 'doctor', '20060509'),
(198, 'uca', 31, '1', 'scientist', '20140117'),
(199, 'wcrv', 25, '0', 'doctor', '20141008'),
(200, 'idaryg', 15, '0', 'artist', '20190521'),
